source,target,mor
REACTOME_DEVELOPMENTAL_BIOLOGY,TUBB2A,1
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,TUBB2A,1
REACTOME_M_PHASE,TUBB2A,1
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,TUBB2A,1
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE,TUBB2A,1
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,TUBB2A,1
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,TUBB2A,1
REACTOME_L1CAM_INTERACTIONS,TUBB2A,1
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,TUBB2A,1
REACTOME_CELL_CYCLE,TUBB2A,1
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,TUBB2A,1
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,TUBB2A,1
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,TUBB2A,1
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,TUBB2A,1
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,TUBB2A,1
REACTOME_CELL_CYCLE_MITOTIC,TUBB2A,1
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,BMP2,1
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,BMP2,1
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,BMP2,1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,BMP2,1
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,BMP2,1
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,BMP2,1
REACTOME_ELASTIC_FIBRE_FORMATION,BMP2,1
REACTOME_SIGNALING_BY_BMP,BMP2,1
REACTOME_PROGRAMMED_CELL_DEATH,CFLAR,1
REACTOME_TRAIL_SIGNALING,CFLAR,1
REACTOME_DEATH_RECEPTOR_SIGNALING,CFLAR,1
REACTOME_REGULATED_NECROSIS,CFLAR,1
REACTOME_TNF_SIGNALING,CFLAR,1
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS,CFLAR,1
REACTOME_REGULATION_BY_C_FLIP,CFLAR,1
REACTOME_APOPTOSIS,CFLAR,1
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,CFLAR,1
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,CFLAR,1
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,RIPK2,1
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES,RIPK2,1
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,RIPK2,1
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1,RIPK2,1
REACTOME_DEATH_RECEPTOR_SIGNALING,RIPK2,1
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,RIPK2,1
REACTOME_INTERLEUKIN_17_SIGNALING,RIPK2,1
REACTOME_DEUBIQUITINATION,RIPK2,1
REACTOME_INFECTIOUS_DISEASE,RIPK2,1
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,RIPK2,1
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,RIPK2,1
REACTOME_NOD1_2_SIGNALING_PATHWAY,RIPK2,1
REACTOME_INTERLEUKIN_1_SIGNALING,RIPK2,1
REACTOME_INNATE_IMMUNE_SYSTEM,RIPK2,1
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,RIPK2,1
REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES,RIPK2,1
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,RIPK2,1
REACTOME_P75NTR_SIGNALS_VIA_NF_KB,RIPK2,1
REACTOME_SARS_COV_2_INFECTION,RIPK2,1
REACTOME_SARS_COV_INFECTIONS,RIPK2,1
REACTOME_SARS_COV_2_HOST_INTERACTIONS,RIPK2,1
REACTOME_SIGNALING_BY_INTERLEUKINS,RIPK2,1
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,RIPK2,1
REACTOME_TCR_SIGNALING,RIPK2,1
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES,RIPK2,1
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,RIPK2,1
REACTOME_TAK1_DEPENDENT_IKK_AND_NF_KAPPA_B_ACTIVATION,RIPK2,1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,RIPK2,1
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,RIPK2,1
REACTOME_PROGRAMMED_CELL_DEATH,IRF1,1
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,IRF1,1
REACTOME_HEMOSTASIS,IRF1,1
REACTOME_PYROPTOSIS,IRF1,1
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,IRF1,1
REACTOME_INTERFERON_GAMMA_SIGNALING,IRF1,1
REACTOME_REGULATED_NECROSIS,IRF1,1
REACTOME_INTERFERON_SIGNALING,IRF1,1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,IRF1,1
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,FUT4,1
REACTOME_METABOLISM_OF_CARBOHYDRATES,FUT4,1
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,CCL2,1
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,CCL2,1
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,CCL2,1
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,CCL2,1
REACTOME_GPCR_LIGAND_BINDING,CCL2,1
REACTOME_PERK_REGULATES_GENE_EXPRESSION,CCL2,1
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,CCL2,1
REACTOME_SIGNALING_BY_INTERLEUKINS,CCL2,1
REACTOME_INTERLEUKIN_10_SIGNALING,CCL2,1
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,CCL2,1
REACTOME_SIGNALING_BY_GPCR,CCL2,1
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,CCL2,1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,CCL2,1
REACTOME_NGF_STIMULATED_TRANSCRIPTION,ID2,1
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,ID2,1
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,ID2,1
REACTOME_SIGNALING_BY_NTRKS,ID2,1
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,NR4A2,1
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,NR4A2,1
REACTOME_SUMOYLATION,NR4A2,1
