source,target,mor
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,TNF,1
KEGG_ALLOGRAFT_REJECTION,TNF,1
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,TNF,1
KEGG_APOPTOSIS,TNF,1
KEGG_ALZHEIMERS_DISEASE,TNF,1
KEGG_HEMATOPOIETIC_CELL_LINEAGE,TNF,1
KEGG_DILATED_CARDIOMYOPATHY,TNF,1
KEGG_ASTHMA,TNF,1
KEGG_MAPK_SIGNALING_PATHWAY,TNF,1
KEGG_LEISHMANIA_INFECTION,TNF,1
KEGG_TYPE_II_DIABETES_MELLITUS,TNF,1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,TNF,1
KEGG_TYPE_I_DIABETES_MELLITUS,TNF,1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,NFKBIA,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,NFKBIA,1
KEGG_APOPTOSIS,NFKBIA,1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,NFKBIA,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_SMALL_CELL_LUNG_CANCER,NFKBIA,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,NFKBIA,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_LEISHMANIA_INFECTION,NFKBIA,1
KEGG_PROSTATE_CANCER,NFKBIA,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,NFKBIA,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,NFKBIA,1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,NFKBIA,1
KEGG_PATHWAYS_IN_CANCER,NFKBIA,1
KEGG_ETHER_LIPID_METABOLISM,PLPP3,1
KEGG_GLYCEROLIPID_METABOLISM,PLPP3,1
KEGG_SPHINGOLIPID_METABOLISM,PLPP3,1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,PLPP3,1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,PLPP3,1
KEGG_ALLOGRAFT_REJECTION,IL12B,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,IL12B,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,IL12B,1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,IL12B,1
KEGG_LEISHMANIA_INFECTION,IL12B,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,IL12B,1
KEGG_TYPE_I_DIABETES_MELLITUS,IL12B,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,TNFSF9,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,CCL4,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CCL4,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CCL4,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,CCL4,1
KEGG_ECM_RECEPTOR_INTERACTION,TNC,1
KEGG_FOCAL_ADHESION,TNC,1
KEGG_CELL_CYCLE,MYC,1
KEGG_TGF_BETA_SIGNALING_PATHWAY,MYC,1
KEGG_COLORECTAL_CANCER,MYC,1
KEGG_SMALL_CELL_LUNG_CANCER,MYC,1
KEGG_ENDOMETRIAL_CANCER,MYC,1
KEGG_MAPK_SIGNALING_PATHWAY,MYC,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,MYC,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,MYC,1
KEGG_ACUTE_MYELOID_LEUKEMIA,MYC,1
KEGG_WNT_SIGNALING_PATHWAY,MYC,1
KEGG_THYROID_CANCER,MYC,1
KEGG_BLADDER_CANCER,MYC,1
KEGG_ERBB_SIGNALING_PATHWAY,MYC,1
KEGG_PATHWAYS_IN_CANCER,MYC,1
KEGG_CELL_ADHESION_MOLECULES_CAMS,SDC4,1
KEGG_ECM_RECEPTOR_INTERACTION,SDC4,1
KEGG_MAPK_SIGNALING_PATHWAY,MAP2K3,1
KEGG_GNRH_SIGNALING_PATHWAY,MAP2K3,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,MAP2K3,1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,MAP2K3,1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,MAP2K3,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CSF1,1
KEGG_HEMATOPOIETIC_CELL_LINEAGE,CSF1,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,CXCL1,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CXCL1,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,CXCL1,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CXCL1,1
KEGG_NOTCH_SIGNALING_PATHWAY,HES1,1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,HES1,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,TNFRSF9,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,IL18,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,IL18,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,IL18,1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,SERPINE1,1
KEGG_P53_SIGNALING_PATHWAY,SERPINE1,1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,PLAUR,1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,MARCKS,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,CXCL2,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CXCL2,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CXCL2,1
KEGG_O_GLYCAN_BIOSYNTHESIS,B4GALT5,1
KEGG_INSULIN_SIGNALING_PATHWAY,TRIP10,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,BIRC2,1
KEGG_APOPTOSIS,BIRC2,1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,BIRC2,1
KEGG_FOCAL_ADHESION,BIRC2,1
KEGG_SMALL_CELL_LUNG_CANCER,BIRC2,1
KEGG_PATHWAYS_IN_CANCER,BIRC2,1
KEGG_PPAR_SIGNALING_PATHWAY,OLR1,1
KEGG_CIRCADIAN_RHYTHM_MAMMAL,PER1,1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PFKFB3,1
KEGG_GLIOMA,CDKN1A,1
KEGG_MELANOMA,CDKN1A,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,CDKN1A,1
KEGG_ERBB_SIGNALING_PATHWAY,CDKN1A,1
KEGG_PATHWAYS_IN_CANCER,CDKN1A,1
KEGG_P53_SIGNALING_PATHWAY,CDKN1A,1
KEGG_CELL_CYCLE,CDKN1A,1
KEGG_PROSTATE_CANCER,CDKN1A,1
KEGG_BLADDER_CANCER,CDKN1A,1
KEGG_ARGININE_AND_PROLINE_METABOLISM,SAT1,1
KEGG_FOLATE_BIOSYNTHESIS,GCH1,1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,F3,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,IL1A,1
KEGG_APOPTOSIS,IL1A,1
KEGG_HEMATOPOIETIC_CELL_LINEAGE,IL1A,1
KEGG_GRAFT_VERSUS_HOST_DISEASE,IL1A,1
KEGG_MAPK_SIGNALING_PATHWAY,IL1A,1
KEGG_LEISHMANIA_INFECTION,IL1A,1
KEGG_PRION_DISEASES,IL1A,1
KEGG_TYPE_I_DIABETES_MELLITUS,IL1A,1
KEGG_SMALL_CELL_LUNG_CANCER,TRAF1,1
KEGG_PATHWAYS_IN_CANCER,TRAF1,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,FOS,1
KEGG_COLORECTAL_CANCER,FOS,1
KEGG_MAPK_SIGNALING_PATHWAY,FOS,1
KEGG_LEISHMANIA_INFECTION,FOS,1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,FOS,1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,FOS,1
KEGG_PATHWAYS_IN_CANCER,FOS,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,CCL20,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CCL20,1
KEGG_APOPTOSIS,BIRC3,1
KEGG_FOCAL_ADHESION,BIRC3,1
KEGG_SMALL_CELL_LUNG_CANCER,BIRC3,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,BIRC3,1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,BIRC3,1
KEGG_PATHWAYS_IN_CANCER,BIRC3,1
KEGG_DORSO_VENTRAL_AXIS_FORMATION,ETS2,1
KEGG_CELL_CYCLE,GADD45A,1
KEGG_MAPK_SIGNALING_PATHWAY,GADD45A,1
KEGG_P53_SIGNALING_PATHWAY,GADD45A,1
KEGG_HUNTINGTONS_DISEASE,SOD2,1
KEGG_PEROXISOME,SOD2,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,CCL5,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,CCL5,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,CCL5,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,CCL5,1
